ID,BackToBack,Home,Team1OffenseRanking,Team1DefenseRanking,Team2OffenseRanking,Team2DefenseRanking,Team1LastNRecord,Team2LastNRecord,ConsensusSpread,ConsensusTotal,AgainstTheSpread,AgainstTheTotal
11-25-2013 => IND vs MIN,-10.00,10.00,4.57,9.37,9.21,4.11,0.90,0.50,6.86,8.12,10.00,0.01
11-25-2013 => MIL @ DET,-10.00,-10.00,0.35,4.29,4.04,3.66,0.10,0.30,3.00,7.95,0.01,10.00
11-25-2013 => DET vs MIL,10.00,10.00,4.04,3.66,0.35,4.29,0.30,0.10,7.00,7.95,10.00,10.00
11-25-2013 => PHO @ MIA,10.00,-10.00,5.96,4.78,8.34,6.38,0.50,0.90,1.43,8.39,3.22,3.57
11-25-2013 => MIA vs PHO,-10.00,10.00,8.34,6.38,5.96,4.78,0.90,0.50,8.57,8.39,6.78,3.57
11-25-2013 => HOU @ MEM,-10.00,-10.00,10.00,1.70,1.83,7.41,0.60,0.60,5.29,8.03,9.28,0.01
11-25-2013 => MEM vs HOU,-10.00,10.00,1.83,7.41,10.00,1.70,0.60,0.60,4.71,8.03,0.72,0.01
11-25-2013 => DEN @ DAL,-10.00,-10.00,7.82,2.59,6.74,3.48,0.60,0.60,3.14,8.80,10.00,2.50
11-25-2013 => DAL vs DEN,-10.00,10.00,6.74,3.48,7.82,2.59,0.60,0.60,6.86,8.80,0.01,2.50
11-25-2013 => NOP @ SAS,-10.00,-10.00,6.91,5.22,6.26,10.00,0.60,1.00,2.29,8.28,0.01,6.61
11-25-2013 => SAS vs NOP,-10.00,10.00,6.26,10.00,6.91,5.22,1.00,0.60,7.71,8.28,10.00,6.61
11-25-2013 => CHI @ UTA,10.00,-10.00,2.44,7.54,0.01,3.89,0.50,0.10,6.43,7.48,0.01,1.79
11-25-2013 => UTA vs CHI,10.00,10.00,0.01,3.89,2.44,7.54,0.10,0.50,3.57,7.48,10.00,1.79
11-25-2013 => NYK @ POR,-10.00,-10.00,3.13,3.26,6.91,6.61,0.20,1.00,3.00,8.08,2.15,4.11
11-25-2013 => POR vs NYK,-10.00,10.00,6.91,6.61,3.13,3.26,1.00,0.20,7.00,8.08,7.85,4.11
11-26-2013 => BKN @ TOR,-10.00,-10.00,3.59,2.85,4.92,5.47,0.20,0.40,3.00,7.89,10.00,8.92
11-26-2013 => TOR vs BKN,-10.00,10.00,4.92,5.47,3.59,2.85,0.40,0.20,7.00,7.89,0.01,8.92
11-26-2013 => LAL @ WAS,-10.00,-10.00,5.44,4.13,5.23,4.71,0.50,0.50,3.43,8.18,5.36,10.00
11-26-2013 => WAS vs LAL,-10.00,10.00,5.23,4.71,5.44,4.13,0.50,0.50,6.57,8.18,4.64,10.00
11-26-2013 => ORL @ ATL,-10.00,-10.00,4.36,3.69,5.28,6.27,0.30,0.60,2.86,8.24,10.00,5.54
11-26-2013 => ATL vs ORL,-10.00,10.00,5.28,6.27,4.36,3.69,0.60,0.30,7.14,8.24,0.01,5.54
11-26-2013 => GSW @ NOP,-10.00,-10.00,4.46,5.91,6.92,3.96,0.50,0.50,5.00,8.57,5.71,3.39
11-26-2013 => NOP vs GSW,10.00,10.00,6.92,3.96,4.46,5.91,0.50,0.50,5.00,8.57,4.29,3.39
11-27-2013 => IND @ CHA,-10.00,-10.00,4.72,9.64,0.06,8.49,0.90,0.40,7.14,7.50,10.00,1.97
11-27-2013 => CHA vs IND,-10.00,10.00,0.06,8.49,4.72,9.64,0.40,0.90,2.86,7.50,0.01,1.97
11-27-2013 => PHI @ ORL,-10.00,-10.00,7.38,0.01,4.46,3.42,0.30,0.30,3.86,8.63,0.01,1.43
11-27-2013 => ORL vs PHI,10.00,10.00,4.46,3.42,7.38,0.01,0.30,0.30,6.14,8.63,10.00,1.43
11-27-2013 => MEM @ BOS,-10.00,-10.00,1.08,7.15,3.03,4.27,0.50,0.40,5.57,7.52,8.57,8.92
11-27-2013 => BOS vs MEM,-10.00,10.00,3.03,4.27,1.08,7.15,0.40,0.50,4.43,7.52,1.43,8.92
11-27-2013 => LAL @ BKN,10.00,-10.00,5.79,4.44,3.49,2.31,0.50,0.20,4.29,8.24,10.00,2.68
11-27-2013 => BKN vs LAL,10.00,10.00,3.49,2.31,5.79,4.44,0.20,0.50,5.71,8.24,0.01,2.68
11-27-2013 => MIA @ CLE,-10.00,-10.00,9.43,6.40,3.44,1.78,0.90,0.20,7.57,8.16,6.43,0.01
11-27-2013 => CLE vs MIA,-10.00,10.00,3.44,1.78,9.43,6.40,0.20,0.90,2.43,8.16,3.57,0.01
11-27-2013 => CHI @ DET,-10.00,-10.00,1.18,8.31,5.28,3.87,0.50,0.40,4.00,7.64,10.00,2.50
11-27-2013 => DET vs CHI,-10.00,10.00,5.28,3.87,1.18,8.31,0.40,0.50,6.00,7.64,0.01,2.50
11-27-2013 => ATL @ HOU,10.00,-10.00,4.51,6.27,10.00,2.36,0.60,0.60,2.72,8.47,0.01,2.15
11-27-2013 => HOU vs ATL,-10.00,10.00,10.00,2.36,4.51,6.27,0.60,0.60,7.28,8.47,10.00,2.15
11-27-2013 => WAS @ MIL,10.00,-10.00,5.23,4.31,0.01,3.56,0.50,0.10,5.71,7.85,8.92,5.71
11-27-2013 => MIL vs WAS,-10.00,10.00,0.01,3.56,5.23,4.31,0.10,0.50,4.29,7.85,1.08,5.71
11-27-2013 => DEN @ MIN,-10.00,-10.00,9.43,2.85,8.61,4.53,0.70,0.40,3.00,8.80,10.00,10.00
11-27-2013 => MIN vs DEN,-10.00,10.00,8.61,4.53,9.43,2.85,0.40,0.70,7.00,8.80,0.01,10.00
11-27-2013 => SAS @ OKC,-10.00,-10.00,7.28,10.00,8.77,4.93,1.00,0.80,4.14,8.32,2.86,0.01
11-27-2013 => OKC vs SAS,-10.00,10.00,8.77,4.93,7.28,10.00,0.80,1.00,5.86,8.32,7.14,0.01
11-27-2013 => GSW @ DAL,10.00,-10.00,4.26,5.56,7.48,3.33,0.50,0.60,3.72,8.51,5.36,3.57
11-27-2013 => DAL vs GSW,-10.00,10.00,7.48,3.33,4.26,5.56,0.60,0.50,6.28,8.51,4.64,3.57
11-27-2013 => POR @ PHO,-10.00,-10.00,7.43,6.58,5.79,4.36,1.00,0.40,6.28,8.24,0.01,10.00
11-27-2013 => PHO vs POR,-10.00,10.00,5.79,4.36,7.43,6.58,0.40,1.00,3.72,8.24,10.00,10.00
11-27-2013 => NYK @ LAC,-10.00,-10.00,2.62,3.56,8.41,4.27,0.20,0.70,2.29,8.43,2.50,0.01
11-27-2013 => LAC vs NYK,-10.00,10.00,8.41,4.27,2.62,3.56,0.70,0.20,7.71,8.43,7.50,0.01
11-28-2013 => MIL @ CHA,10.00,-10.00,0.01,4.35,0.05,8.65,0.00,0.40,3.57,7.64,0.01,0.01
11-28-2013 => CHA vs MIL,10.00,10.00,0.05,8.65,0.01,4.35,0.40,0.00,6.43,7.64,10.00,0.01
11-28-2013 => SAS @ ORL,10.00,-10.00,6.52,10.00,4.89,3.91,0.90,0.30,7.57,7.99,10.00,7.32
11-28-2013 => ORL vs SAS,10.00,10.00,4.89,3.91,6.52,10.00,0.30,0.90,2.43,7.99,0.01,7.32
11-28-2013 => MIA @ TOR,10.00,-10.00,8.45,7.15,5.20,5.97,0.90,0.40,6.71,8.10,5.71,0.01
11-28-2013 => TOR vs MIA,-10.00,10.00,5.20,5.97,8.45,7.15,0.40,0.90,3.29,8.10,4.29,0.01
11-28-2013 => DAL @ ATL,10.00,-10.00,6.96,4.66,3.75,5.85,0.70,0.50,5.43,8.36,3.22,0.01
11-28-2013 => ATL vs DAL,10.00,10.00,3.75,5.85,6.96,4.66,0.50,0.70,4.57,8.36,6.78,0.01
11-28-2013 => CLE @ BOS,10.00,-10.00,2.82,3.16,2.56,5.22,0.20,0.30,3.86,7.83,0.01,4.82
11-28-2013 => BOS vs CLE,10.00,10.00,2.56,5.22,2.82,3.16,0.30,0.20,6.14,7.83,10.00,4.82
11-28-2013 => LAL @ DET,10.00,-10.00,5.73,5.14,3.92,5.26,0.50,0.40,3.43,8.34,10.00,7.14
11-28-2013 => DET vs LAL,10.00,10.00,3.92,5.26,5.73,5.14,0.40,0.50,6.57,8.34,0.01,7.14
11-28-2013 => BKN @ HOU,10.00,-10.00,3.13,3.60,10.00,3.72,0.20,0.70,1.86,8.49,0.01,6.25
11-28-2013 => HOU vs BKN,10.00,10.00,10.00,3.72,3.13,3.60,0.70,0.20,8.14,8.49,10.00,6.25
11-28-2013 => GSW @ OKC,10.00,-10.00,5.51,4.90,7.88,5.73,0.50,0.80,2.86,8.43,9.64,10.00
11-28-2013 => OKC vs GSW,10.00,10.00,7.88,5.73,5.51,4.90,0.80,0.50,7.14,8.43,0.36,10.00
11-28-2013 => WAS @ IND,10.00,-10.00,4.71,5.49,4.89,9.84,0.50,0.90,1.86,7.68,0.01,0.01
11-28-2013 => IND vs WAS,10.00,10.00,4.89,9.84,4.71,5.49,0.90,0.50,8.14,7.68,10.00,0.01
11-28-2013 => NOP @ PHI,-10.00,-10.00,6.83,4.62,7.09,0.01,0.50,0.20,6.00,8.65,10.00,10.00
11-28-2013 => PHI vs NOP,10.00,10.00,7.09,0.01,6.83,4.62,0.20,0.50,4.00,8.65,0.01,10.00
11-28-2013 => NYK @ DEN,10.00,-10.00,2.25,4.55,9.20,3.44,0.20,0.70,2.57,8.34,9.64,1.43
11-28-2013 => DEN vs NYK,10.00,10.00,9.20,3.44,2.25,4.55,0.70,0.20,7.43,8.34,0.36,1.43
11-28-2013 => PHO @ UTA,10.00,-10.00,6.78,4.62,0.93,5.02,0.50,0.20,5.57,7.85,10.00,10.00
11-28-2013 => UTA vs PHO,-10.00,10.00,0.93,5.02,6.78,4.62,0.20,0.50,4.43,7.85,0.01,10.00
11-28-2013 => LAC @ SAC,10.00,-10.00,7.79,5.69,4.19,4.98,0.80,0.30,5.71,8.39,7.50,4.64
11-28-2013 => SAC vs LAC,-10.00,10.00,4.19,4.98,7.79,5.69,0.30,0.80,4.29,8.39,2.50,4.64
11-29-2013 => MIL @ CHA,10.00,-10.00,0.01,4.06,0.24,9.44,0.00,0.50,3.57,7.64,0.01,0.01
11-29-2013 => CHA vs MIL,10.00,10.00,0.24,9.44,0.01,4.06,0.50,0.00,6.43,7.64,10.00,0.01
11-29-2013 => SAS @ ORL,10.00,-10.00,7.40,9.05,4.72,2.95,0.90,0.30,7.57,7.99,10.00,7.32
11-29-2013 => ORL vs SAS,10.00,10.00,4.72,2.95,7.40,9.05,0.30,0.90,2.43,7.99,0.01,7.32
11-29-2013 => MIA @ TOR,10.00,-10.00,7.36,7.44,4.65,5.79,0.90,0.40,6.71,8.10,5.71,0.01
11-29-2013 => TOR vs MIA,10.00,10.00,4.65,5.79,7.36,7.44,0.40,0.90,3.29,8.10,4.29,0.01
11-29-2013 => DAL @ ATL,10.00,-10.00,6.34,4.21,3.03,5.87,0.60,0.50,5.43,8.36,3.22,0.01
11-29-2013 => ATL vs DAL,10.00,10.00,3.03,5.87,6.34,4.21,0.50,0.60,4.57,8.36,6.78,0.01
11-29-2013 => CLE @ BOS,10.00,-10.00,3.07,2.56,1.89,5.71,0.20,0.30,3.86,7.83,0.01,4.82
11-29-2013 => BOS vs CLE,10.00,10.00,1.89,5.71,3.07,2.56,0.30,0.20,6.14,7.83,10.00,4.82
11-29-2013 => LAL @ DET,10.00,-10.00,6.22,4.65,3.74,5.12,0.60,0.40,3.43,8.34,10.00,7.14
11-29-2013 => DET vs LAL,10.00,10.00,3.74,5.12,6.22,4.65,0.40,0.60,6.57,8.34,0.01,7.14
11-29-2013 => BKN @ HOU,10.00,-10.00,3.23,2.64,10.00,3.94,0.20,0.80,1.86,8.49,0.01,6.25
11-29-2013 => HOU vs BKN,10.00,10.00,10.00,3.94,3.23,2.64,0.80,0.20,8.14,8.49,10.00,6.25
11-29-2013 => GSW @ OKC,10.00,-10.00,6.06,4.45,7.56,4.72,0.50,0.80,2.86,8.43,9.64,10.00
11-29-2013 => OKC vs GSW,10.00,10.00,7.56,4.72,6.06,4.45,0.80,0.50,7.14,8.43,0.36,10.00
11-29-2013 => WAS @ IND,10.00,-10.00,3.23,5.75,4.72,10.00,0.50,0.90,1.86,7.68,0.01,0.01
11-29-2013 => IND vs WAS,10.00,10.00,4.72,10.00,3.23,5.75,0.90,0.50,8.14,7.68,10.00,0.01
11-29-2013 => NOP @ PHI,10.00,-10.00,7.24,3.54,5.83,0.01,0.50,0.20,6.00,8.65,10.00,10.00
11-29-2013 => PHI vs NOP,10.00,10.00,5.83,0.01,7.24,3.54,0.20,0.50,4.00,8.65,0.01,10.00
11-29-2013 => NYK @ DEN,10.00,-10.00,2.05,4.06,8.26,3.94,0.10,0.80,2.57,8.34,9.64,1.43
11-29-2013 => DEN vs NYK,10.00,10.00,8.26,3.94,2.05,4.06,0.80,0.10,7.43,8.34,0.36,1.43
11-29-2013 => PHO @ UTA,10.00,-10.00,6.26,4.45,1.50,4.88,0.50,0.20,5.57,7.85,10.00,10.00
11-29-2013 => UTA vs PHO,10.00,10.00,1.50,4.88,6.26,4.45,0.20,0.50,4.43,7.85,0.01,10.00
11-29-2013 => LAC @ SAC,10.00,-10.00,7.12,5.28,3.94,4.76,0.80,0.30,5.71,8.39,7.50,4.64
11-29-2013 => SAC vs LAC,10.00,10.00,3.94,4.76,7.12,5.28,0.30,0.80,4.29,8.39,2.50,4.64
11-30-2013 => ATL @ WAS,10.00,-10.00,3.36,5.95,2.85,5.98,0.60,0.50,3.72,7.85,3.22,10.00
11-30-2013 => WAS vs ATL,10.00,10.00,2.85,5.98,3.36,5.95,0.50,0.60,6.28,7.85,6.78,10.00
11-30-2013 => CHI @ CLE,-10.00,-10.00,3.07,8.34,2.02,3.49,0.60,0.10,6.43,7.54,0.01,7.68
11-30-2013 => CLE vs CHI,10.00,10.00,2.02,3.49,3.07,8.34,0.10,0.60,3.57,7.54,10.00,7.68
11-30-2013 => BKN @ MEM,10.00,-10.00,3.97,2.54,2.89,7.01,0.20,0.60,2.86,7.70,10.00,4.46
11-30-2013 => MEM vs BKN,-10.00,10.00,2.89,7.01,3.97,2.54,0.60,0.20,7.14,7.70,0.01,4.46
11-30-2013 => MIN @ DAL,-10.00,-10.00,7.51,3.77,5.85,4.44,0.30,0.50,5.57,8.61,7.85,8.39
11-30-2013 => DAL vs MIN,10.00,10.00,5.85,4.44,7.51,3.77,0.50,0.30,4.43,8.61,2.15,8.39
11-30-2013 => HOU @ SAS,10.00,-10.00,10.00,4.26,7.07,8.45,0.80,0.90,3.14,8.49,10.00,9.46
11-30-2013 => SAS vs HOU,10.00,10.00,7.07,8.45,10.00,4.26,0.90,0.80,6.86,8.49,0.01,9.46
11-30-2013 => UTA @ PHO,10.00,-10.00,2.78,4.37,6.82,4.16,0.20,0.50,2.43,8.03,10.00,10.00
11-30-2013 => PHO vs UTA,10.00,10.00,6.82,4.16,2.78,4.37,0.50,0.20,7.57,8.03,0.01,10.00
11-30-2013 => BOS @ MIL,10.00,-10.00,3.14,5.63,0.01,4.96,0.40,0.00,5.71,7.66,0.01,1.97
11-30-2013 => MIL vs BOS,10.00,10.00,0.01,4.96,3.14,5.63,0.00,0.40,4.29,7.66,10.00,1.97
12-01-2013 => DEN @ TOR,-10.00,-10.00,8.30,3.45,4.98,5.63,0.80,0.40,4.29,8.39,10.00,7.50
12-01-2013 => TOR vs DEN,-10.00,10.00,4.98,5.63,8.30,3.45,0.40,0.80,5.71,8.39,0.01,7.50
12-01-2013 => IND @ LAC,-10.00,-10.00,4.98,10.00,7.16,5.46,0.90,0.80,5.43,7.89,7.50,10.00
12-01-2013 => LAC vs IND,-10.00,10.00,7.16,5.46,4.98,10.00,0.80,0.90,4.57,7.89,2.50,10.00
12-01-2013 => PHI @ DET,-10.00,-10.00,6.86,0.01,4.43,5.25,0.20,0.40,2.72,8.53,0.01,8.03
12-01-2013 => DET vs PHI,-10.00,10.00,4.43,5.25,6.86,0.01,0.40,0.20,7.28,8.53,10.00,8.03
12-01-2013 => GSW @ SAC,-10.00,-10.00,6.31,3.77,4.61,4.68,0.40,0.30,6.28,8.28,3.22,10.00
12-01-2013 => SAC vs GSW,-10.00,10.00,4.61,4.68,6.31,3.77,0.30,0.40,3.72,8.28,6.78,10.00
12-01-2013 => CHA @ MIA,-10.00,-10.00,1.00,9.12,6.82,8.06,0.50,1.00,1.72,7.83,10.00,7.68
12-01-2013 => MIA vs CHA,-10.00,10.00,6.82,8.06,1.00,9.12,1.00,0.50,8.28,7.83,0.01,7.68
12-01-2013 => MIN @ OKC,10.00,-10.00,7.82,3.87,7.53,4.58,0.40,0.80,2.57,8.59,3.93,7.85
12-01-2013 => OKC vs MIN,-10.00,10.00,7.53,4.58,7.82,3.87,0.80,0.40,7.43,8.59,6.07,7.85
12-01-2013 => NOP @ NYK,-10.00,-10.00,8.37,2.89,2.81,4.86,0.50,0.10,4.57,8.18,8.92,6.43
12-01-2013 => NYK vs NOP,-10.00,10.00,2.81,4.86,8.37,2.89,0.10,0.50,5.43,8.18,1.08,6.43
12-01-2013 => POR @ LAL,-10.00,-10.00,7.27,5.11,7.08,4.96,0.90,0.70,6.00,8.53,6.78,10.00
12-01-2013 => LAL vs POR,-10.00,10.00,7.08,4.96,7.27,5.11,0.70,0.90,4.00,8.53,3.22,10.00
12-02-2013 => ORL @ WAS,-10.00,-10.00,4.98,3.07,3.95,6.09,0.30,0.60,3.14,8.01,0.01,0.01
12-02-2013 => WAS vs ORL,-10.00,10.00,3.95,6.09,4.98,3.07,0.60,0.30,6.86,8.01,10.00,0.01
12-02-2013 => NOP @ CHI,10.00,-10.00,8.70,3.14,2.95,8.08,0.60,0.50,3.00,7.89,10.00,10.00
12-02-2013 => CHI vs NOP,-10.00,10.00,2.95,8.08,8.70,3.14,0.50,0.60,7.00,7.89,0.01,10.00
12-02-2013 => ATL @ SAS,-10.00,-10.00,2.95,6.21,7.08,8.08,0.50,0.80,1.57,8.22,10.00,6.07
12-02-2013 => SAS vs ATL,-10.00,10.00,7.08,8.08,2.95,6.21,0.80,0.50,8.43,8.22,0.01,6.07
12-02-2013 => HOU @ UTA,-10.00,-10.00,10.00,5.21,2.84,4.71,0.90,0.20,7.14,8.34,0.01,8.57
12-02-2013 => UTA vs HOU,-10.00,10.00,2.84,4.71,10.00,5.21,0.20,0.90,2.86,8.34,10.00,8.57
12-02-2013 => IND @ POR,10.00,-10.00,5.35,10.00,7.45,5.29,0.90,0.90,5.29,7.93,1.43,10.00
12-02-2013 => POR vs IND,10.00,10.00,7.45,5.29,5.35,10.00,0.90,0.90,4.71,7.93,8.57,10.00
12-03-2013 => ORL @ PHI,10.00,-10.00,4.05,4.29,5.99,0.01,0.30,0.10,3.86,8.51,7.14,10.00
12-03-2013 => PHI vs ORL,-10.00,10.00,5.99,0.01,4.05,4.29,0.10,0.30,6.14,8.51,2.86,10.00
12-03-2013 => MIL @ BOS,-10.00,-10.00,0.01,6.22,2.76,7.35,0.10,0.40,2.86,7.66,4.64,10.00
12-03-2013 => BOS vs MIL,-10.00,10.00,2.76,7.35,0.01,6.22,0.40,0.10,7.14,7.66,5.36,10.00
12-03-2013 => DEN @ BKN,-10.00,-10.00,8.31,4.08,3.90,3.36,0.80,0.20,6.28,8.41,10.00,3.04
12-03-2013 => BKN vs DEN,-10.00,10.00,3.90,3.36,8.31,4.08,0.20,0.80,3.72,8.41,0.01,3.04
12-03-2013 => DET @ MIA,-10.00,-10.00,5.07,5.76,6.10,9.41,0.40,1.00,2.43,8.26,10.00,6.43
12-03-2013 => MIA vs DET,-10.00,10.00,6.10,9.41,5.07,5.76,1.00,0.40,7.57,8.26,0.01,6.43
12-03-2013 => PHO @ MEM,-10.00,-10.00,7.46,3.95,2.17,7.98,0.50,0.50,4.29,7.93,0.01,8.21
12-03-2013 => MEM vs PHO,-10.00,10.00,2.17,7.98,7.46,3.95,0.50,0.50,5.71,7.93,10.00,8.21
12-03-2013 => CHA @ DAL,-10.00,-10.00,1.44,10.00,5.99,5.13,0.40,0.50,2.72,8.05,5.71,0.01
12-03-2013 => DAL vs CHA,-10.00,10.00,5.99,5.13,1.44,10.00,0.50,0.40,7.28,8.05,4.29,0.01
12-03-2013 => OKC @ SAC,-10.00,-10.00,7.75,5.46,5.62,4.71,0.80,0.30,7.43,8.32,0.36,1.61
