ID,BackToBack,Home,Team1OffenseRanking,Team1DefenseRanking,Team2OffenseRanking,Team2DefenseRanking,ConsensusSpread,ConsensusTotal,AgainstTheSpread,AgainstTheTotal
11-25-2013 => CHA vs BOS,-10.00,10.00,0.83,8.79,2.87,4.15,5.86,7.66,0.01,3.75
11-25-2013 => MIN @ IND,-10.00,-10.00,9.21,4.11,4.57,9.37,3.14,8.12,0.01,0.01
11-25-2013 => IND vs MIN,-10.00,10.00,4.57,9.37,9.21,4.11,6.86,8.12,10.00,0.01
11-25-2013 => MIL @ DET,-10.00,-10.00,0.35,4.29,4.04,3.66,3.00,7.95,0.01,10.00
11-25-2013 => DET vs MIL,10.00,10.00,4.04,3.66,0.35,4.29,7.00,7.95,10.00,10.00
11-25-2013 => PHO @ MIA,10.00,-10.00,5.96,4.78,8.34,6.38,1.43,8.39,3.22,3.57
11-25-2013 => MIA vs PHO,-10.00,10.00,8.34,6.38,5.96,4.78,8.57,8.39,6.78,3.57
11-25-2013 => HOU @ MEM,-10.00,-10.00,10.00,1.70,1.83,7.41,5.29,8.03,9.28,0.01
11-25-2013 => MEM vs HOU,-10.00,10.00,1.83,7.41,10.00,1.70,4.71,8.03,0.72,0.01
11-25-2013 => DEN @ DAL,-10.00,-10.00,7.82,2.59,6.74,3.48,3.14,8.80,10.00,2.50
11-25-2013 => DAL vs DEN,-10.00,10.00,6.74,3.48,7.82,2.59,6.86,8.80,0.01,2.50
11-25-2013 => NOP @ SAS,-10.00,-10.00,6.91,5.22,6.26,10.00,2.29,8.28,0.01,6.61
11-25-2013 => SAS vs NOP,-10.00,10.00,6.26,10.00,6.91,5.22,7.71,8.28,10.00,6.61
11-25-2013 => CHI @ UTA,10.00,-10.00,2.44,7.54,0.01,3.89,6.43,7.48,0.01,1.79
11-25-2013 => UTA vs CHI,10.00,10.00,0.01,3.89,2.44,7.54,3.57,7.48,10.00,1.79
11-25-2013 => NYK @ POR,-10.00,-10.00,3.13,3.26,6.91,6.61,3.00,8.08,2.15,4.11
11-25-2013 => POR vs NYK,-10.00,10.00,6.91,6.61,3.13,3.26,7.00,8.08,7.85,4.11
11-26-2013 => BKN @ TOR,-10.00,-10.00,3.59,2.85,4.92,5.47,3.00,7.89,10.00,8.92
11-26-2013 => TOR vs BKN,-10.00,10.00,4.92,5.47,3.59,2.85,7.00,7.89,0.01,8.92
11-26-2013 => LAL @ WAS,-10.00,-10.00,5.44,4.13,5.23,4.71,3.43,8.18,5.36,10.00
11-26-2013 => WAS vs LAL,-10.00,10.00,5.23,4.71,5.44,4.13,6.57,8.18,4.64,10.00
11-26-2013 => ORL @ ATL,-10.00,-10.00,4.36,3.69,5.28,6.27,2.86,8.24,10.00,5.54
11-26-2013 => ATL vs ORL,-10.00,10.00,5.28,6.27,4.36,3.69,7.14,8.24,0.01,5.54
11-26-2013 => GSW @ NOP,-10.00,-10.00,4.46,5.91,6.92,3.96,5.00,8.57,5.71,3.39
11-26-2013 => NOP vs GSW,10.00,10.00,6.92,3.96,4.46,5.91,5.00,8.57,4.29,3.39
11-27-2013 => IND @ CHA,-10.00,-10.00,4.72,9.64,0.06,8.49,7.14,7.50,10.00,1.97
11-27-2013 => CHA vs IND,-10.00,10.00,0.06,8.49,4.72,9.64,2.86,7.50,0.01,1.97
11-27-2013 => PHI @ ORL,-10.00,-10.00,7.38,0.01,4.46,3.42,3.86,8.63,0.01,1.43
